Depth1,Depth2,Depth3,넘버링,설명,User Action,System Outcome,Dependencies,Acceptance Criteria
이슈 관리,,,1,"이슈 생성, 조회, 수정, 삭제 기능",,,,
이슈 관리,CRUD,,1.1,이슈 기본 CRUD 기능,,,,
이슈 관리,CRUD,생성,1.1.1,이슈 생성,사용자가 "새 이슈"에서 제목/설명/우선순위/담당자를 입력 후 저장한다,새 이슈가 생성되고 목록에 추가된다,-,제목 중복 허용; 필수 항목(제목, 설명) 검증; 저장 성공 시 목록/상세로 이동; 실패 시 원인 메시지 표시
이슈 관리,CRUD,목록조회,1.1.2,이슈 목록 조회,사용자가 목록에서 검색/필터/정렬/페이지 이동을 한다,조건에 맞는 이슈 목록이 표시된다,1.1.1,검색(제목/설명/담당자); 필터(상태/우선순위/담당자); 정렬(생성일/우선순위); 페이지네이션 동작; 빈 상태 UI; 로딩/오류 상태 처리
이슈 관리,CRUD,상세 조회,1.1.3,이슈 상세 조회,사용자가 특정 이슈를 클릭해 상세/활동 내역을 조회한다,선택한 이슈/활동 내역이 로드되어 상세 화면에 표시된다,1.1.1,이슈 정보(제목/설명/상태/담당자) 표시; 활동 내역(댓글/상태 변경) 시간순 표시; 로딩/오류 처리
이슈 관리,CRUD,수정,1.1.4,이슈 수정,사용자가 이슈 내용(제목/설명/상태/담당자)을 수정하고 "저장"한다,이슈 정보가 갱신되고 활동 내역에 기록된다,1.1.3,변경 감지/취소 가능; 수정 시 활동 내역 자동 기록; 저장 실패 시 오류 표시
이슈 관리,CRUD,삭제,1.1.5,이슈 삭제,사용자가 삭제 버튼 → 확인 모달에서 확정한다,이슈가 삭제(또는 보관 처리)된다,1.1.3,확인 모달 필수; 삭제 후 목록에서 제거; 실패 시 오류 표시
이슈 관리,상태관리,,1.2,이슈 상태 워크플로우 관리,,,,
이슈 관리,상태관리,상태 변경,1.2.1,이슈 상태 변경,사용자가 상태(할 일/진행 중/검토/완료)를 변경한다,상태가 변경되고 활동 내역에 기록된다,1.1.4,상태 전환 규칙(예: 할 일→진행 중→검토→완료); 상태 변경 시 코멘트 입력 가능; 담당자에게 알림(옵션)
이슈 관리,상태관리,담당자 지정,1.2.2,이슈 담당자 지정/변경,사용자가 담당자를 선택/변경한다,담당자가 할당/변경되고 활동 내역에 기록된다,1.1.4,팀원 목록에서 선택; 담당자 변경 시 알림(옵션); 담당자 없음 가능
이슈 관리,태그관리,,1.3,이슈 태그 관리,,,,
이슈 관리,태그관리,태그 추가/삭제,1.3.1,이슈 태그 추가/삭제,사용자가 이슈에 태그를 추가/삭제한다,태그가 저장되고 목록 필터/검색에 반영된다,1.1.3,Enter/콤마 입력; 자동완성; 태그 Chip UI; 태그로 필터링 동작
이슈 관리,우선순위,,1.4,이슈 우선순위 관리,,,,
이슈 관리,우선순위,우선순위 설정,1.4.1,이슈 우선순위(낮음/보통/높음/긴급) 설정,사용자가 우선순위를 선택/변경한다,우선순위가 저장되고 목록에서 색상으로 표시된다,1.1.4,우선순위별 색상(긴급:빨강, 높음:주황, 보통:녹색, 낮음:회색); 정렬 기능 제공
스프린트 관리,,,2,"스프린트 생성, 이슈 할당, 진행 추적",,,,
스프린트 관리,스프린트 CRUD,,2.1,스프린트 기본 CRUD 기능,,,,
스프린트 관리,스프린트 CRUD,생성,2.1.1,스프린트 생성,사용자가 "새 스프린트"에서 이름/기간/목표를 입력 후 저장한다,새 스프린트가 생성된다,-,이름 중복 차단; 시작일/종료일 검증(종료일 > 시작일); 목표 선택 입력; 저장 성공 시 스프린트 목록으로 이동
스프린트 관리,스프린트 CRUD,목록조회,2.1.2,스프린트 목록 조회,사용자가 스프린트 목록(활성/예정/완료)을 조회한다,스프린트 목록이 상태별로 표시된다,2.1.1,활성/예정/완료 탭; 진행률 표시; 기간 표시; 클릭 시 상세 이동
스프린트 관리,스프린트 CRUD,상세 조회,2.1.3,스프린트 상세 조회,사용자가 스프린트를 클릭해 상세/할당 이슈/진행률를 확인한다,스프린트 정보와 할당된 이슈 목록이 표시된다,2.1.1,이름/기간/목표 표시; 할당 이슈 목록; 진행률(완료/전체); 시작/종료 버튼
스프린트 관리,이슈 할당,,2.2,스프린트에 이슈 할당,,,,
스프린트 관리,이슈 할당,이슈 추가,2.2.1,스프린트에 이슈 추가,사용자가 스프린트에서 이슈를 선택하여 추가한다,이슈가 스프린트에 할당된다,2.1.3,미할당 이슈 목록 표시; 다중 선택 가능; 드래그앤드롭(옵션); 추가 후 즉시 반영
스프린트 관리,이슈 할당,이슈 제거,2.2.2,스프린트에서 이슈 제거,사용자가 스프린트에서 이슈를 제거한다,이슈가 미할당 상태로 변경된다,2.2.1,확인 없이 제거 가능; 제거 후 미할당 이슈 목록에 추가
스프린트 관리,진행 추적,,2.3,스프린트 진행률 및 차트,,,,
스프린트 관리,진행 추적,진행률 계산,2.3.1,스프린트 진행률 자동 계산,완료 이슈 수 / 전체 이슈 수로 진행률을 계산한다,진행률이 표시된다,2.2.1,실시간 계산; 퍼센트 + 프로그레스 바; 완료 기준(상태=완료)
스프린트 관리,진행 추적,버니 차트,2.3.2,일별 완료/추가 이슈 차트,사용자가 스프린트 기간 동안의 이슈 변화를 차트로 확인한다,버니 차트가 렌더링된다,2.3.1,일별 완료/추가/재오픈 이슈 수; X축:날짜, Y축:이슈 수; 차트 인터랙션(툴팁)
스프린트 관리,스프린트 제어,,2.4,스프린트 시작/종료,,,,
스프린트 관리,스프린트 제어,스프린트 시작,2.4.1,스프린트 시작,사용자가 "스프린트 시작"을 클릭한다,스프린트 상태가 "활성"으로 변경된다,2.1.3,확인 모달; 시작일 도래 시만 가능; 활성 스프린트는 1개로 제한
스프린트 관리,스프린트 제어,스프린트 종료,2.4.2,스프린트 종료,사용자가 "스프린트 종료"를 클릭한다,스프린트 상태가 "완료"로 변경된다,2.4.1,확인 모달; 미완료 이슈 안내(다음 스프린트로 이동 여부); 종료 후 수정 불가
보드 뷰,,,3,칸반 보드로 이슈 시각화,,,,
보드 뷰,칸반 보드,,3.1,상태별 열로 이슈 표시,,,,
보드 뷰,칸반 보드,보드 렌더링,3.1.1,칸반 보드 렌더링,사용자가 보드 뷰에서 상태별 열(할 일/진행 중/검토/완료)을 본다,각 열에 해당하는 이슈 카드가 표시된다,-,열 순서 설정 가능; 카드 내용(제목/담당자/우선순위); 스크롤 독립
